本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
刽	kʰuai4	kuai4	gui4	赣			90000		
剁	to4	do4	duo4	赣			5854		
剂	tɕi4	ji4	ji4	赣			104868		
剃	tʰi4	ti4	ti4	赣			120000		
削	ɕiau1	xiau1	xue1	赣			175000		
削	ɕiɔʔ5	xiok5	xue1	赣			175000		
削	ɕyɵʔ5	xyuok5	xue1	赣			175000		
前	tɕʰiɛn2	qien2	qian2	赣			412779		
剐	kua3	gua3	gua3	赣			30000		
剑	tɕiɛn4	jien4	jian4	赣			120000		
剔	tʰiʔ6	tik6	ti1	赣			145000		
剖	pʰo4	po4	pou1	赣			108773		
剥	pɔʔ5	bok5	bo1	赣			120000		
剧	tɕi4	ji4	ju4	赣			145000		
剧	tɕu4	ju4	ju4	赣			145000		
剩	sən4	sen4	sheng4	赣			145000		
剩	siŋ4	sing4	sheng4	赣			145000		
剪	tɕiɛn3	jien3	jian3	赣			120000		
副	fu4	fu4	fu4	赣			220000		
割	kɵʔ5	gok5	ge1	赣			120000		
劈	pʰiaʔ5	piak5	pi1	赣			145000		
劖	tsʰam2	cam2	chan2	赣	刺/扎	ci4/zha1	125710		
劖	tsʰan2	can2	chan2	赣	刺/扎	ci4/zha1	125710		
力	lɨʔ5	lek5	li4	赣			125000		
力	liʔ5	lik5	li4	赣			125000		
劝	tɕʰyon4	qyuon4	quan4	赣			145000		
办	pan4	ban4	ban4	赣			145000		
办	pʰan4	pan4	ban4	赣			145000		
功	kuŋ1	gung1	gong1	赣			150000		
加	ka1	ga1	jia1	赣			370000		
务	mu4	mu4	wu4	赣			145000		
务	u4	wu4	wu4	赣			145000		
劣	liɛt5	liet5	lie4	赣			120000		
动	tʰuŋ4	tung4	dong4	赣			270000		
助	tsʰu4	cu4	zhu4	赣			120000		
助	tɕu4	ju4	zhu4	赣			120000		
努	lu3	lu3	nu3	赣			120000		
努	ȵu3	nu3	nu3	赣			120000		
劫	tɕiɛʔ6	jiek6	jie2	赣			120000		
劫	tɕʰiɛʔ5	qiek5	jie2	赣			120000		
励	liʔ5	lik5	li4	赣			120000		
劲	tɕin4	jin4	jin4	赣			120000		
劳	lɑu2	lau2	lao2	赣			145000		
势	siʔ4	sik4	shi4	赣			195000		
勃	poʔ6	bok6	bo2	赣			120000		
勇	iuŋ3	yung3	yong3	赣			120000		
