本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
原	ȵyon5	nyuon4	yuan2	赣			180000		老1
厢	ɕiɔŋ1	xiong1	xiang1	赣			120000		
厣	iɛn3	yen3	yan3	赣			30000		
厥	tɕyot7	jyuot6	jue2	赣			71738		
厦	ha6	ha5	sha4	赣			120000		
厨	tɕʰy2	qyu2	chu2	赣			120000		老1
厩	tɕiu5	jiu4	jiu4	赣			71975		
厮	sɿ1	si1	si1	赣			76777		
县	ɕiɛn6	xien5	xian4	赣			120000		
叁	san1	san1	san1	赣			131131		
参	tsʰan1	can1	can1	赣			120000		
又	iu6	yiu5	you4	赣			400749		
叉	tsʰa1	ca1	cha1	赣			120000		
及	tɕit7	jit6	ji2	赣			175000		新1
及	tɕʰit7	qit6	ji2	赣			175000		老1
友	iu3	yiu3	you3	赣			155000		
双	sɔŋ1	song1	shuang1	赣			120000		
反	fan3	fan3	fan3	赣			145000		
发	fat7	fat6	fa1	赣			370000		
叔	suʔ7	suk6	shu1	赣			120000		
取	tɕʰy3	qyu3	qu3	赣			190000		
受	seu6	seu5	shou4	赣			155000		本1
变	piɛn5	bien4	bian4	赣			270000		
