本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
一九八一年		yi jiu ba yi nien	yi1 jiu3 ba1 yi1 nian2	赣			19		
一九八一年		yi jiu bai yi nien	yi1 jiu3 ba1 yi1 nian2	赣			19		
一九八三年		yi jiu ba san nien	yi1 jiu3 ba1 san1 nian2	赣			14		
一九八三年		yi jiu bai san nien	yi1 jiu3 ba1 san1 nian2	赣			14		
一九八九年		yi jiu ba jiu nien	yi1 jiu3 ba1 jiu3 nian2	赣			10		
一九八九年		yi jiu bai jiu nien	yi1 jiu3 ba1 jiu3 nian2	赣			10		
一九八二年		yi jiu ba e nien	yi1 jiu3 ba1 er4 nian2	赣			16		
一九八二年		yi jiu bai e nien	yi1 jiu3 ba1 er4 nian2	赣			16		
一九八五年		yi jiu ba ng nien	yi1 jiu3 ba1 wu3 nian2	赣			9		
一九八五年		yi jiu bai ng nien	yi1 jiu3 ba1 wu3 nian2	赣			9		
一九八八年		yi jiu ba ba nien	yi1 jiu3 ba1 ba1 nian2	赣			11		
一九八八年		yi jiu ba bai nien	yi1 jiu3 ba1 ba1 nian2	赣			11		
一九八八年		yi jiu bai ba nien	yi1 jiu3 ba1 ba1 nian2	赣			11		
一九八八年		yi jiu bai bai nien	yi1 jiu3 ba1 ba1 nian2	赣			11		
一九八六年		yi jiu ba liu nien	yi1 jiu3 ba1 liu4 nian2	赣			13		
一九八六年		yi jiu bai liu nien	yi1 jiu3 ba1 liu4 nian2	赣			13		
一九八四年		yi jiu ba su nien	yi1 jiu3 ba1 si4 nian2	赣			16		
一九八四年		yi jiu bai su nien	yi1 jiu3 ba1 si4 nian2	赣			16		
一九六		yi jiu liu	yi1 jiu3 liu4	赣			17		
一九六一年		yi jiu liu yi nien	yi1 jiu3 liu4 yi1 nian2	赣			8		
一九六七年		yi jiu liu qi nien	yi1 jiu3 liu4 qi1 nian2	赣			17		
一九六三年		yi jiu liu san nien	yi1 jiu3 liu4 san1 nian2	赣			22		
一九六九年		yi jiu liu jiu nien	yi1 jiu3 liu4 jiu3 nian2	赣			17		
